                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.51953,                0.55217,                 1.0566,                0.69668,                0.75476,                0.76293,                0.68624,                0.43353,                0.63432,                0.99596,             0.00023407,             0.00023407,             0.00023407
                     77,                0.51939,                0.55023,                 1.0562,                0.69212,                0.75101,                0.75491,                 0.6743,                0.43556,                0.63515,                0.99305,             0.00022507,             0.00022507,             0.00022507
                     78,                 0.5152,                0.53978,                 1.0513,                0.67894,                0.76755,                0.74039,                0.67051,                 0.4312,                0.63962,                 0.9933,             0.00021607,             0.00021607,             0.00021607
                     79,                0.51683,                0.54789,                 1.0558,                0.70041,                0.73329,                0.74785,                0.67467,                0.42832,                0.66643,                0.99498,             0.00020707,             0.00020707,             0.00020707
                     80,                0.51445,                0.53822,                 1.0525,                 0.6774,                 0.7448,                0.73909,                0.66937,                  0.443,                0.68103,                 1.0006,             0.00019807,             0.00019807,             0.00019807
                     81,                0.51122,                0.54175,                 1.0525,                0.66566,                0.76953,                0.73887,                0.66356,                0.44271,                0.68016,                 1.0092,             0.00018907,             0.00018907,             0.00018907
                     82,                0.50309,                0.53333,                 1.0486,                0.71809,                0.74494,                 0.7627,                0.68726,                0.44297,                 0.6732,                 1.0131,             0.00018007,             0.00018007,             0.00018007
                     83,                0.50629,                0.53428,                 1.0487,                 0.6897,                0.76761,                0.75209,                0.67586,                0.43914,                0.66148,                 1.0025,             0.00017107,             0.00017107,             0.00017107
                     84,                0.50734,                0.52933,                 1.0489,                0.72509,                  0.722,                0.75534,                0.68267,                0.42862,                0.64936,                0.99754,             0.00016207,             0.00016207,             0.00016207
                     85,                0.49843,                0.52823,                 1.0463,                0.70136,                 0.7487,                0.75108,                0.67799,                0.42892,                0.64458,                 1.0009,             0.00015308,             0.00015308,             0.00015308
                     86,                0.50149,                0.52054,                 1.0479,                0.75115,                0.71503,                0.76012,                0.68233,                0.43359,                0.64814,                0.99771,             0.00014408,             0.00014408,             0.00014408
                     87,                 0.4923,                0.51305,                 1.0384,                0.67556,                0.80611,                0.75042,                0.67892,                0.42382,                0.65459,                0.99017,             0.00013508,             0.00013508,             0.00013508
                     88,                0.49243,                 0.5149,                 1.0412,                0.68176,                 0.7653,                0.74647,                0.67617,                0.42283,                0.66813,                 0.9871,             0.00012608,             0.00012608,             0.00012608
                     89,                0.49234,                0.51325,                 1.0391,                0.69264,                0.77022,                0.75224,                0.67602,                0.42653,                0.65507,                0.99575,             0.00011708,             0.00011708,             0.00011708
                     90,                0.48604,                0.50826,                 1.0386,                0.72669,                0.76154,                0.76696,                0.69246,                 0.4358,                0.62772,                0.99935,             0.00010808,             0.00010808,             0.00010808
